Date, Turbo On, Water Chiller Run Time, Glow/Hydro RP On, Dep RP On, DEP Motor Run Time, Rotation Motor O-ring, Glow Hydro RP Oil Life, DEP Rough Pump Oil Life, FS Chrome Target Life, FS Low Index Target Life, FS High Index Target Life, BS Chrome Target Life, BS Low Index Target Life, BS High Index Target Life, Lens Count, Lens Count Setpoint
8/4/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/5/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/6/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/7/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/8/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/9/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/10/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/11/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/12/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/13/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/14/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/15/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/16/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/17/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/18/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/19/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/20/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/21/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/22/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/23/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/24/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/25/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/26/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/27/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/28/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/29/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/30/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
8/31/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/1/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/2/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/3/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/4/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/5/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/6/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/7/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/8/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/9/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/10/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/11/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/12/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/13/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/14/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
9/15/2013 16:13, 795, 283, 335, 101, 027, 027, 334, 000, 101, 003, 002, 001, 001, 000, 008, 600
03/04/2013 16:26:16, 816, 304, 356, 122, 027, 027, 356, 000, 122, 003, 002, 001, 001, 000, 008, 600
03/04/2013 16:26:33, 816, 304, 356, 123, 027, 027, 356, 000, 122, 003, 002, 001, 001, 000, 008, 600
03/04/2013 16:26:56, 817, 305, 357, 123, 027, 027, 357, 000, 123, 003, 002, 001, 001, 000, 008, 600
03/04/2013 16:27:33, 818, 306, 358, 124, 027, 027, 358, 000, 124, 003, 002, 001, 001, 000, 008, 600
